vendor_name,import_year,total_spend,num_transactions,num_categories,mean_approval_delay,mean_fulfillment_delay,anomaly_score,is_anomaly,pca_1,pca_2
REDWINE INTERNATIONAL INC,2019,3400.7799999999997,3,2,1.3333333333333333,8.0,0.2023056029970844,False,-0.24646304799449814,-0.5560484204629684
REDWINE INTERNATIONAL INC,2020,12046.82,3,2,0.0,2.857142857142857,0.18693762470115155,False,-0.20886162870415978,-0.8727873846615393
REDWINE INTERNATIONAL INC,2021,12974.93,5,1,2.125,1.0,0.19009292704759229,False,-0.2735488910347659,-0.4470712720172269
REDWOOD TOXICOLOGY LABORATORY INC,2017,49.5,1,2,1.0,5.0,0.20169572408885295,False,-0.2616784626010393,-0.6530295369244924
REFCON SERVICES INC,2018,2169.25,1,1,6.0,27.0,0.16890091082618508,False,-0.45140506714227896,0.5591038711622092
REFURB FACTORY LLC,2019,164.39999999999998,2,1,1.5,42.0,0.1983466266189145,False,-0.359373855494651,-0.2548008350029255
REGIONAL CONVEYOR SERVICES,2020,1800.4099999999999,1,1,1.0,7.0,0.2014942660043948,False,-0.3112526242523084,-0.6408541472077348
RENNIES ADVERTISING IDEAS INC,2019,422.18999999999994,2,4,0.6666666666666666,25.333333333333332,0.18879661840592338,False,-0.176442060282496,-0.5490928025397653
RENNIES ADVERTISING IDEAS INC,2021,257.8,1,4,1.0,24.0,0.1904990759484409,False,-0.1953477077894406,-0.492014745807768
REVERE GAS INC,2017,22304.2853,6,2,0.0,4.0,0.18593413772624479,False,-0.1697725032683148,-0.8571695991399932
REVOLUTION MOTORSPORTS,2016,1898257.0,5,4,5.0,81.0,-0.04852702764659611,True,-0.2041043228281457,1.1764244383417268
REVOLUTION MOTORSPORTS,2019,649680.0,1,1,6.0,741.0,-0.17079525649901484,True,-1.4396784551021151,6.418251751072018
REVOLUTION MOTORSPORTS,2020,850.0,1,1,8.0,21.0,0.14681793286097172,False,-0.4874447844114974,0.9264116266110286
REVOLUTION MOTORSPORTS,2021,95150.0,2,2,7.333333333333333,50.0,0.11398540529163048,False,-0.4486454929107499,1.04489137894823
RGH PRODUCTS,2018,288.09000000000003,4,5,0.8,5.0,0.1882005661026711,False,-0.0766571467142242,-0.6774577994220913
RGH PRODUCTS,2019,1871.25,5,7,1.0,6.0,0.18334550342899925,False,0.024524873731806417,-0.6176215246057779
RGH PRODUCTS,2021,946.52,6,8,2.75,26.4,0.18662379418708547,False,0.016350698405286232,-0.08457399589026487
RICHMOND BEHAVIORAL HEALTH AUTHORITY,2017,2962.5,1,1,3.0,21.0,0.19696171331956042,False,-0.37587203093307575,-0.11250551486001654
RICHMOND MACHINERY & EQUIPMENT CO INC,2017,1873.91,1,1,0.0,18.0,0.19890836066754075,False,-0.30475508456919215,-0.760402331379223
RICOH USA INC,2021,15330.0,1,1,2.0,53.0,0.19118480278192707,False,-0.39882809521698714,-0.061054206048507816
